SKU,Product_Name,Category,Supplier,Stock_Qty,Reorder_Level,Unit_Cost,Warehouse,Last_Restock,Status
SKU-501115,N/A,electronic,Nova,627,19,903.03,,2021-09-25,LOW STOCK 
SKU-501085,Product 1117,Office,Apex Supply,832,18,1724.46,SYD,03-24-2023,unknown
SKU-501117,Product 1118,Electronics,Nova Wholesale,649,102,596.68,WH-MEL,22 Mar 2024,In Stock
SKU-501118,Product 1119,Accessories,Apex Supply,13,37,,wh-per , ,Low Stock
SKU-501119,Product 1120,Accessories,Nova Wholesale,231,52,578.71,Warehouse 1,2021-12-24,In Stock
SKU-501120,Unknown Item,Electronics,Global Parts,N/A,55,1257.11,WH-ADE,01-09-2023,In Stock
SKU-501121,Product,ELECTRONICS ,Nova,704,N/A,819.32,WH-MEL,17.01.2022,low
SKU-501122,Product 1123,Unknown,Apex Supply,723,27,2419.8,WH-MEL,unknown,In Stock
sku-501123,Product 1124,Office,Metro Goods,210,90,865.06,ADE,17/12/2022,
SKU-501124,Product 1125,Software,Global Parts,,50 units,"1.299,50",WH-MEL,?,LOW STOCK 
SKU-500552,Product 1126,Office,PrimeSource,-1,0,311.09,wh-per ,,In Stock
SKU 501126,Product 1127,OFFICE,Vertex Trading,877,102,2089.12,WH-PER,20/09/2024,In Stock
SKU-501127,Product 1128,Home,Global Parts,158,50 units,2495.89,WH-ADE,21.03.2023,1
SKU-501128,Product 1129,Accessories ,PrimeSource,816,139,2352.36,WH-SYD,2024-09-10,In Stock
12345,Product 1130,electronic,Vertex Trading,658,118,$99.99,WH-SYD,2024/10/25,OOS
SKU-501130,Product 1131,Software,PrimeSource,414,0,"2 500,00",wh-per ,2022/04/05,outofstock
sku-501131,Product 1132,Electronics,Vertex Trading,500 units,114,USD 120,WH-BNE,26/08/2021,outofstock
SKU-501132,Product,Home,Global Parts,121,89,79.58,WH-ADE,2023/12/15,In Stock
SKU-501133,Product,Home,Nova Wholesale,18,130,1517.26,,03-26-2026,Low Stock
SKU-501134,Product 1135,accessory,Apex Supply,177,37,"1.299,50",unknown,13 Jun 2025,outofstock
SKU-501135,Product 1136,,Nova Wholesale,500 units,148,2059.19,WH-BNE,,in stock
SKU-501136,123456,Electronics,Global Parts,500 units,27,1832.98,WH-ADE,2022-11-21,In Stock
SKU-501137,Product 1138,electronic,Vertex  Trading,522,139,-250,WH-SYD,2021-05-16,In Stock
SKU 501138,Product 1139,Home,GlobalParts,30,0,1571.62,wh-per ,06-28-2022,Not Available
SKU-501139,Product 1140,Accessories,Nova Wholesale,21,-10,2027.6,WH-SYD,11-03-2022,outofstock
SKU-501140,Product 1141,Accessories,Apex Supply,884,54,1158.02,Warehouse 1,2021/07/07,unknown
SKU-501141,Product 1142,N/A,Vertex Trading,877,56,1488.77,WH-SYD,03-31-2021,Not Available
NULL,Product 1143,Electronics,Global Parts,519,138,9999999,WH-PER,31/08/2025,In Stock
SKU-501143,,Software,Nova,528,28,1790.55,ADE,   ,In Stock
SKU-501144,Product 1145,electronics,Apex,549,61,FREE,WH-PER,18 Dec 2025,Not Available
SKU-501145,???,Home,Metro Goods,NaN,87,439.19,WH-BNE,02/06/2025,In Stock
SKU-501146,Product 1147,Electronics,PrimeSource,500 units,150,-250,WH-ADE,2021/08/10,In Stock
SKU-501147,Product 1148,Software,N/A,263,0,2282.9,WH-MEL,13/01/2023,unknown
SKU-501148,???,Software,Nova Wholesale,602,"1,000",1611.28,Sydney Warehouse,08 Oct 2025,In Stock
,Product 1150 ,soft ware,Metro Goods,696,84,"1.299,50",WH-ADE,null,In Stock
SKU-501150,Product 1151,electronics,Prime Source,999999,50 units,FREE,WH-MEL,13/13/26,Low Stock
SKU-501151,Product 1152,Electronics,GlobalParts,242,128,265.13,WH-ADE,null,In Stock
SKU-501152,Product 1153,ELECTRONICS ,Global Parts,589,71,377.57,WH-PER,12 Apr 2026,In Stock
SKU-501153,Product 1154,Accessories,Apex Supply,44,"1,000",1682.03,WH-BNE,03 Sep 2026,Low Stock
SKU-501154,Product 1155,Home & Living,Nova Wholesale,359,64,"1,299.50",WH-MEL,09.12.2022,0
SKU-501155,Product 1156,Accessories,Metro Goods,412,57,2240.72,WH-MEL,08-24-2025,outofstock
SKU-????,Product 1157,Unknown,Nova Wholesale,731,,1067.71,SYD,2025/00/12,unknown
SKU-????,product_name,Electronics,Nova,168,9999,443.61,WH-SYD,03/06/2021,In Stock
SKU-501158,Product 1159,Software,Vertex Trading,505,50 units,2000.31,Warehouse 1,06-29-2022,OOS
SKU-501159,Product 1160,Electronics,Apex Supply,,59,1629.74,WH-MEL,10-24-2025,In Stock
SKU-501160,Product 1161,Home,Nova Wholesale,266,32,295.93,WH-MEL,-,In Stock
SKU-501161,Product 1162,Home,N/A,399,62,947.46,WH-BNE,03 Aug 2025,Not Available
SKU-501162,Product 1163,Office,PrimeSource,442,122,"1,299.50",WH-ADE,27/04/2023,In Stock
,Product,Home & Living,GlobalParts,N/A,43,725.42,WH-PER,19/01/2023,In Stock
N/A,Product 1165,Electronics,Apex,813,143,1119.02,WH-PER,10-15-2021,In Stock
SKU-501165,Product 1166,Office,Apex,676,,$99.99,WH-PER,missing,In Stock
SKU-501166,Product 1167,Accessories,Metro Goods,30,115,1091.75,WH-ADE,NULL,Low Stock
SKU-501167,Product 1168,Software,Apex,563,86,"2 500,00",Sydney Warehouse,99-99-9999,In Stock
SKU-501168,Product 1169,Home,Apex,147,N/A,2317.23,WH-ADE,25/09/2023,
SKU-501169,Product 1170,Office,PrimeSource,487,99,691.4,WH-MEL,2022-11-11,In Stock
SKU-501170,Product 1171,Accessories ,Apex Supply,859,1O,1769.77,ADE,2023/09/21,In Stock
SKU-501171,Product 1172,Software,Vertex Trading,795,118,186.69,WH-PER,unknown,In Stock
SKU-501172,Product 1173,Home,Vertex Trading,626,119,"2 500,00",unknown,00/00/0000,In Stock
SKU-501173,Product 1174,accessory,Metro Goods,652,50 units,FREE,N/A,01-28-2026,In Stock
SKU 501174,Product 1175,Office,Vertex Trading,607,88,1333.99,WH-ADE,2025/07/11,Available
SKU-500856,Product 857,Electronics,Nova Wholesale,311,95,1842.76,WH-PER,23 Aug 2025,In Stock
SKU-501176,Product 1177,Office,PrimeSource,46,twenty,AUD 500,WH-BNE,N/A,Low Stock
sku-501177,N/A,Software,Global Parts,478,133,AUD 500,WH-PER,04 Jan 2024,In Stock
NULL,Product 1179,soft ware,Metro Goods,10,56,"1.299,50",WH-ADE,09-03-2025,Low Stock
SKU-501179,Product 1180,Electronics,  Apex Supply  ,294,76,388.07,unknown,null,0
NULL,???,soft ware,Nova,699,,225.11,WH-PER,2021-12-16,Not Available
SKU-501181,Product 1182,electronic,Global Parts,N/A,116,2086.71,N/A,11/01/2026,unknown
SKU-501182,Product 1183,Office,Global Parts,0.5,84,"2 500,00",N/A,null,unknown
SKU-501183,Product 1184,Office,Metro Goods,484,68,629.55,WH-SYD,2025-09-25,In Stock
SKU 501184,Product 1185,Software,GlobalParts,794,50 units,10O.50,WH-PER,2021-10-20,1
SKU-501185,Product 1186,accessory,Global Parts,"1,200",24,89.44,,2023-04-30,unknown
SKU-501186,Product 1187,Office,PrimeSource,273,138,2103.2,WH-SYD,missing,In Stock
SKU-501187,Product 1188,Office,Prime Source,253,30,"2 500,00",WH-BNE,08/07/2022,1
N/A,Product 1189,Accessories,Vertex Trading,318,80,$99.99,WH-PER,01/05/2024,In Stock
SKU-501189,Product 1190,N/A,  Nova Wholesale  ,852,46,425.87,SYD,Feb 30 2025,LOW STOCK 
,Product 1191,Accessories,unknown,679,39,1063.02,WH-BNE,,in stock
NULL,Product 1192,accessory,Nova Wholesale,N/A,32,1230.52,WH-BNE,missing,In Stock
SKU-501192,123456,Home,Metro Goods,327,69,"2 500,00",WH-ADE,26/10/2025,In Stock
SKU-501193,Unknown Item,Office,Vertex Trading,509,50 units,-250,WH-PER,01/07/2021,N/A
SKU-501194,Product 1195,Electronics,PrimeSource,369,9999,2279.31,WH-PER,22 Mar 2024,In Stock
SKU-500727,123456,accessory,Apex Supply,834,1O,1293.81,WH-SYD,07.10.2025,In Stock
sku-501196,N/A,Software,PrimeSource,-1,9999,-250,,2021/08/31,In Stock
NULL,Product 1198,Office,Global Parts,834,146,1815.38,WH-SYD,2024-01-07,In Stock
SKU-501198,Product 1199,Home,Metro Goods,153,71,"2 500,00",WH-MEL,2025/08/26,In Stock
SKU-501199,Product 1200,Electronics,Nova Wholesale,56,107,"2 500,00",WH-PER,04-27-2021,Low Stock
SKU-501200,Product 1201,Accessories ,Apex,250,40,1165.94,WH-ADE,2023/02/17,outofstock
SKU-501201,Product 1202,Unknown,Vertex Trading,212,137,585.01,ADE,2021/12/08,In Stock
SKU-501202,Product 1203,Home & Living,Apex Supply,125,56,2328.01,unknown,16/06/2022,In Stock
SKU-501203,Product 1204,Office,Nova Wholesale,459,60,1973.62,WH-ADE,-,In Stock
SKU-501204,Product 1205,Accessories,Global Parts,NaN,25,120.09,unknown,2025/06/13,In Stock
SKU-501205,Product 1206,Accessories ,,257,115,1867.84,WH-BNE,2026/01/24,In Stock
SKU-501206,N/A,Office,Metro Goods,0.5,49,2353.74,WH-PER,10/11/2024,low
SKU-501207,123456,Software,Metro Goods,253,93,1101.78,ADE,07.03.2024,In Stock
12345,123456,Home,Vertex Trading,597,0,"1.299,50",WH-PER,02-13-2026,In Stock
SKU-501209,product 1210,Software,Vertex Trading,858,45,1317.73,WH-BNE,2024-11-05,In Stock
SKU-501210,N/A,Home,Global Parts,804,117,767.54,WH-BNE,04-04-2022,In Stock
SKU-501211,Product 1212,Accessories,Metro Goods,-1,27,1021.19,WH-BNE,99-99-9999,Low Stock
SKU-501212,Product 1213,Electronics,Vertex Trading,NaN,108,304.84,WH-MEL,19.08.2021,In Stock
SKU-501213,Unknown Item,Home & Living,Nova Wholesale,83,76,601.6,WH-BNE,12 Jun 2024,Available
SKU-501214,Product 1215,Electronics,Vertex Trading,203,50 units,,,04 Mar 2026,In Stock
SKU-501215,123456,Home,unknown,785,104,1241.78,WH-BNE,09.07.2026,In Stock
SKU-501216,Product 1217,Home,Apex Supply,307,132,$99.99,WH-PER,06/08/2024,In Stock
SKU-501217,product_name,accessory,Nova Wholesale,NaN,50 units,1733.97,,2026-03-04,In Stock
SKU-501218,Product,Office,unknown,NaN,133,459.31,WH-BNE,2023-07-20,In Stock
NULL,Product 1220,electronic,unknown,136,95,2152.3,Melbourne WH,2024/11/30,In Stock
,Product 196,office supplies,PrimeSource,NaN,106,1111.05,WH-ADE,06.04.2023,outofstock
SKU-501221,Product 1222,soft ware,Nova Wholesale,545,150,FREE,WH-SYD,12-12-2024,In Stock
12345,Product 1223,Accessories,GlobalParts,546,119,1060.86,WH-ADE,03/08/2023,outofstock
SKU-501223,Product 1224,ELECTRONICS ,Vertex Trading,495,39,535.3,WH-PER,17.10.2021,N/A
SKU-501224,123456,Electronics,Prime Source,ten,40,USD 120,WH-BNE,not-a-date,Not Available
SKU-501225,Product 1226,Unknown,Apex,522,twenty,"1.299,50",WH-SYD,2021-04-06,In Stock
SKU-501226,Product 1227,office supplies,Nova,708,23,329.32,WH-PER,23.04.2024,In Stock
SKU-501227,Product 1228,Electronics,,575,twenty,9999999,WH-BNE,Feb 30 2025,In Stock
SKU-501228,Product 1229,Home & Living,Prime Source,NaN,9999,-250,WH-SYD,?,In Stock
SKU-501229,Product,Electronics,Global Parts,769,94,AUD 500,WH-BNE,2022/04/05,
SKU-501230,product_name,Office,Nova Wholesale,151,145,9.26,WH-BNE,01-27-2021,In Stock
SKU-500336,Product 337,Home,Apex,624,98,47.2,WH-PER,11/04/2026,OOS
SKU-501232,Product 1233,Home,Global Parts,571,144,"1.299,50",,11-03-2025,In Stock
SKU-501233,product_name,Electronics,Global Parts,546,149,662.48,WH-MEL,27.10.2021,In Stock
SKU-501234,Product 1235,,,177,"1,000",FREE,SYD,14/07/2025,In Stock
SKU-501235,Product 1236,Office,Nova Wholesale,352,97,2433.53,WH-BNE,25 Mar 2024,low
SKU-500924,Product,electronic,Vertex Trading,153,0,"1.299,50",WH-MEL,Feb 30 2025,In Stock
SKU-501237,Unknown Item,Home,Apex Supply,217,81,"1,299.50",WH-SYD,99-99-9999,in stock
SKU-501238,Product 1239,ELECTRONICS ,PrimeSource,500 units,26,FREE,Sydney Warehouse,06-24-2026,In Stock
SKU-501239,Unknown Item,Software,vertex trading,452,101,$99.99,WH-SYD,2023-03-01,In Stock
SKU-501240,Product 1241,Accessories,Vertex Trading,625,-10,149.17,WH-MEL,none,In Stock
SKU-501241,Unknown Item,Accessories,Nova Wholesale,296,149,1539.47,WH-PER,03/05/2025,In Stock
SKU-501242,Product 1243,Home,Apex Supply,895,96,1682.51,WH-SYD,unknown,In Stock
SKU-501243,Product 1244,N/A,Nova Wholesale,152,9999,-250,WH-PER,24/12/2022,In Stock
sku-501244,Product 1245,,Nova Wholesale,723,87,540.88,WH-PER,2026/03/11,In Stock
SKU-501245,???,Software,Nova,842,52,540.49,WH-PER,11 Apr 2022,In Stock
SKU-501246,Product 1247,soft ware,123,1O0,132,398.44,WH-MEL,16 Feb 2023,In Stock
SKU-501247,Product 1248,Electronics,Metro Goods,361,78,296.64,unknown,30 Oct 2021,
SKU-501248,Product 1249,Software,Vertex Trading,592,92,297.02,unknown,08.01.2021,In Stock
SKU-501249,Product 1250,Accessories,Vertex Trading,304,0,507.67,WH-BNE,none,In Stock
SKU-501250,Product 1251,OFFICE,Nova Wholesale,0.5,147,33.31,WH-MEL,03-23-2024,In Stock
N/A,Product 1252,Home,Nova Wholesale,37,"1,000",AUD 500,WH-bne,2021/12/20,OOS
SKU-501252,Product 1253,Accessories,123,214,-10,,WH-PER,   ,In Stock
SKU-501253,Product 1254,soft ware,Nova Wholesale,63,129,USD 120,WH-PER,Feb 30 2025,LOW STOCK 
SKU-501254,Product 1255,electronic,Apex Supply,0.5,48,9999999,WH-SYD,00/00/0000,Available
SKU-501255,123456,Office,Metro Goods,343,15,1768.25,WH-BNE,07 Aug 2021,In Stock
SKU-501256,Product 1257,Accessories,Prime Source,500 units,1O,401.29,Sydney Warehouse,2023-10-20,In Stock
SKU-501257,Product 1258,electronics,Vertex Trading,-1,22,205.43,WH-ADE,23/07/2025,In Stock
12345,Product 1259,Home & Living,Metro Goods,N/A,50 units,2048.2,WH-bne,23/04/2025,Available
SKU-501259,123456,Software,Global Parts,1O0,50 units,784.98,WH-SYD,2022-07-04,In Stock
12345,Product 1261,Accessories,PrimeSource,156,117,1753.33,WH-PER,05/04/2022,low
SKU-????,Product 1262,,Global Parts,423,twenty,-250,Melbourne WH,05-03-2022,In Stock
SKU-500260,,Electronics,Vertex Trading,500 units,30,2154.9,WH-ADE,missing,In Stock
SKU-501263, Product 1264,Software,Apex Supply,32,123,1253.11,WH-SYD,26.03.2025,LOW STOCK 
SKU-501264,Product 1265,electronic,Apex Supply,796,102,1450.3,WH-MEL,2024-09-22,In Stock
SKU-501265,Product 1266,Software,PrimeSource,813,85,9999999,WH-BNE,2025/00/12,In Stock
SKU-501266,Product 1267,Home,Nova,N/A,90,,WH-SYD,24 Feb 2026,In Stock
SKU-500949,???,Unknown,GlobalParts,184,78,"1,299.50",WH-SYD,?,In Stock
SKU-????,Product 1269,Software,unknown,663,140,1227.16,WH-BNE,26.04.2022,INSTOCK
N/A,N/A,Software,Metro Goods,91,53,2242.12,WH-ADE,31/02/2026,In Stock
SKU-501270,Product 1271,Home,N/A,-50,111,USD 120,WH-ADE,31.10.2021,Low Stock
SKU-501271,Product 1272,Home,Vertex Trading,230,"1,000",1086.58,WH-MEL,20.07.2023,In Stock
,N/A,Unknown,Global Parts,N/A,150,878.22,WH-BNE,11.11.2024,0
SKU-501273,Product 1274,Home,Nova Wholesale,113,150,814.77,WH-BNE,22/12/2025,Low Stock
SKU-501274,Product 1275,Electronics,Nova Wholesale,795,-10,814.6,WH-PER,2026-13-44,In Stock
SKU-501275,Product,OFFICE,Vertex Trading,898,0,114.64,WH-PER,99-99-9999,In Stock
sku-501276,,Software,Apex Supply,690,50 units,1401.51,WH-PER,NA,In Stock
SKU-501277,Product 1278,N/A,Global Parts,1O0,N/A,$99.99,WH-ADE,06-18-2022,Low Stock
SKU-501278,Product 1279,Accessories,Vertex Trading,500 units,NaN,821.74,WH-BNE,00/00/0000,In Stock
SKU-501279,???,Software,Metro Goods,650,64,1890.09,WH-BNE,2024/05/26,in stock
SKU-501280,Product 1281,Home,PrimeSource,609,43,"1.299,50",WH-SYD,missing,In Stock
SKU-500944,Product 1282,ELECTRONICS ,Metro Goods,294,15,355.46,WH-ADE,2023/03/23,In Stock
SKU-501282,Product 1283,electronics,Apex,243,146,1881.3,WH-BNE,2024-08-09,In Stock
SKU-501283,Product,Software,PrimeSource,107,twenty,140.83,WH-PER,04-08-2026,Low Stock
SKU-501284,Product 1285,Office,Apex Supply,285,15,AUD 500,ADE,20 Mar 2022,In Stock
SKU-501285,Product 1286,Home,GlobalParts,599,129,995.02,WH-MEL,2022-03-21,N/A
SKU-501286,Product 1287,Accessories,Nova Wholesale,999999,,2175.71,WH-SYD,19 Sep 2022,Low Stock
SKU-501287,Product 1288,Home,Nova Wholesale,641,116,1315.43,WH-MEL,24/05/2025,In Stock
,Product 1289,Electronics,PrimeSource,30,59,1963.27,ADE,2026/06/15,Low Stock
SKU 501289,Product 1290,electronics,PrimeSource,"1,200",N/A,2340.19,WH-PER,02.03.2022,In Stock
SKU-501290,Product 1291,OFFICE,Global Parts,0.5,"1,000",AUD 500,WH-ADE,2024/07/03,In Stock
SKU-501291,Product 1292,Office,Nova Wholesale,,0,10O.50,WH-PER,22 Sep 2022,In Stock
SKU-501292,,Accessories,Global Parts,137,136,1373.99,WH-BNE,30 Aug 2021,low
SKU-501293,Product 1294,Accessories,Vertex Trading,ten,-10,1816.26,WH-BNE,03/01/2024,Available
SKU-501294,Product 1295,electronics,Nova Wholesale,583,NaN,1367.93,Warehouse 1,2023-07-13,In Stock
SKU-501295,Product,Software,PrimeSource,-1,19,419.94,WH-SYD,-,In Stock
SKU-501296,Product 1297,Software,PrimeSource,692,0,2055.39,WH-MEL,09.12.2023,In Stock
,Product 1298,Accessories ,123,496,33,110.33,WH-MEL,01 Nov 2023,unknown
NULL,  Product 1299  ,Software,Global Parts,72,91,1479.36,WH-SYD,02.10.2022,Low Stock
NULL,Product 1300,accessory,Global Parts,24,9999,1036.75,WH-BNE,19.03.2025,OOS
SKU-501300,N/A,Home,Nova Wholesale,481,109,1642.96,unknown,25 Jul 2024,In Stock
SKU-501301,Product 1302,Office,PrimeSource,N/A,1O,2041.4,WH-SYD,2022-03-01,In Stock
SKU-501302,Product 1303,Office,123,815,91,AUD 500,WH-BNE,01.08.2021,In Stock
SKU-501124,Product 1304,soft ware,Global Parts,668,62,89.58,WH-PER,N/A,In Stock
SKU-501304,Product 1305,Office,Global Parts,585,twenty,"1,299.50",WH-SYD,99-99-9999,In Stock
SKU-501305,???,soft ware,Prime Source,,twenty,9999999,Melbourne WH,missing,In Stock
SKU-501306,123456,Unknown,Nova Wholesale,100,138,2497.46,SYD,13/13/26,outofstock
SKU-501307,Product 1308,Electronics,Nova Wholesale,999999,43,414.4,WH-MEL,2021/05/18,INSTOCK
SKU-501308,Unknown Item,Software,123,792,62,179.79,WH-MEL,2025/04/22,unknown
SKU-501309,Product 1310,Software,PrimeSource,120,90,9999999,WH-ADE,08-25-2021,unknown
SKU-501310,Product 1311,ELECTRONICS ,Nova,36,NaN,1802.48,WH-PER,32 Jan 2025,Low Stock
SKU-501311,Product 1312,Office,Apex Supply,ten,82,"2 500,00",WH-ADE,2026-02-31,In Stock
SKU-501312,Product 1313,Electronics,Vertex Trading,1O0,117,1896.9,WH-ADE,NULL,In Stock
SKU-501313,Product 1314,Software,Nova Wholesale,"1,200",63,2306.85,WH-SYD,2022-11-29,OOS
SKU-501314,Product 1315,Electronics,Global  Parts,-50,95,FREE,WH-ADE,29/03/2022,in stock
SKU-501315,Product 1316,Accessories,Nova Wholesale,197,-10,216.35,WH-MEL,07/11/2023,low
SKU 501316,PRODUCT 1317,Software,Metro Goods,775,138,535.94,WH-MEL,10-11-2023,unknown
SKU-501317,Product 1318,Electronics,Nova,N/A,128,FREE,WH-SYD,unknown,In Stock
SKU-500969,Product 1319,Software,Nova,,43,N/A,ADE,2024/02/19,In Stock
SKU-501319,123456,Home,Apex Supply,106,21,-250,N/A,25 Sep 2025,In Stock
SKU-????,Product 1321,accessory,PrimeSource,NaN,95,2173.54,WH-MEL,07-26-2023,In Stock
SKU-501321,123456,Office,Apex Supply,232,143,2046.73,WH-PER,2024/07/29,In Stock
SKU-501322,Product 1323 ,Software,Metro Goods,1O0,52,342.43,Warehouse 1,27/11/2025,In Stock
SKU-501323,Product 1324,Accessories,Apex Supply,112,,1382.26,WH-ADE,24 Jun 2024,N/A
SKU-????,Product 1325,Accessories,Nova Wholesale,790,49,1950.82,WH-SYD,2021/06/05,In Stock
SKU-501325,Product 1326,Electronics,Apex Supply,847,89,"2 500,00",WH-SYD,2026-03-30,In Stock
SKU-501326,Product 1327,OFFICE,Nova Wholesale,461,93,1866.07,WH-SYD,21.09.2022,In Stock
SKU-501327,Unknown Item,Accessories,Apex,225,130,124.25,WH-PER,00/00/0000,In Stock
SKU-501328,Product 1329,Home,Metro Goods,,132,-250,WH-SYD,06-25-2025,In Stock
sku-501329,Product 1330,Home & Living,Vertex Trading,120,twenty,390.57,WH-ADE,N/A,In Stock
SKU-501330,Product 1331,Software,Metro Goods,378,22,982.4,WH-ADE,03/04/2023,In Stock
SKU-501331,Product 1332,Office,Nova Wholesale,867,N/A,9999999,WH-PER,29.07.2024,In Stock
SKU-501332,N/A,Accessories,Nova Wholesale,500 units,NaN,787.38,WH-SYD,02 Jun 2021,OOS
SKU-501333,Product 1334,Unknown,Apex,550,twenty,788.43,,2026/03/25,In Stock
SKU-501334,Product 1335,office supplies,unknown,999999,97,1193.7,SYD,15.12.2025,In Stock
SKU-501335,Product 1336,Accessories,Apex Supply,302,,2096.21,WH-BNE,2024-01-24,In Stock
SKU-501336,Product 1337,Office,Metro Goods,0.5,1O,"1.299,50",unknown,26/07/2025,1
SKU-501337,Product 1338,ELECTRONICS ,Apex Supply,753,23,AUD 500,Sydney Warehouse,25/02/2025,In Stock
SKU-501338,Product 1339,Office,Global Parts,51,117,1846.51,WH-SYD,25 Jan 2026,Low Stock
SKU-501339,Product 1340,Office,Metro Goods,0.5,92,1799.14,WH-PER,00/00/0000,In Stock
SKU-501340,Product 1341,Electronics,Global Parts,215,37,1352.36,WH-BNE,02.10.2026,In Stock
SKU-501341,123456,Electronics,PrimeSource,258,1O,AUD 500,WH-BNE,2025/09/07,1
SKU 501342,Product 1343,Electronics,Metro Goods,38,22,426.96,WH-BNE,2023/08/11,In Stock
N/A,Product 1344,Electronics,GlobalParts,280,129,787.86,WH-SYD,2025/06/18,outofstock
SKU-501128,Product 1345,Electronics,Apex Supply,244,21,2109.29,unknown,17/04/2022,In Stock
SKU-501345,Product 1346,Home & Living,Nova Wholesale,780,39,1339.19,WH-PER,00/00/0000,In Stock
SKU-????,Product 1347,Accessories,123,562,125,,WH-bne,23/11/2023,In Stock
SKU-501347,Product 1348,Accessories,Vertex Trading,308,30,"2 500,00",WH-SYD,08/05/2025,low
12345,123456,Electronics,GlobalParts,NaN,111,1940.19,Melbourne WH,NA,In Stock
SKU-501349,Product 1350,Home,PrimeSource,494,18,540.28,WH-bne,06-16-2024,In Stock
SKU-501350,Product 1351,N/A,PrimeSource,56,113,2488.0,WH-ADE,16.06.2026,Not Available
SKU-501351,Product 1352,Accessories,Metro Goods,-1,42,843.84,WH-ADE,24 Apr 2021,In Stock
SKU-501352,123456,Home & Living,Global Parts,750,147,581.84,WH-SYD,2025-10-19,LOW STOCK 
SKU-501353,123456,accessory,PrimeSource,-50,19,,WH-BNE,05-15-2022,In Stock
SKU-501354,Product 1355,Software,Vertex Trading,293,81,1867.42,WH-ADE,2026-13-44,In Stock
12345,???,Electronics,Metro Goods,,45,-250,WH-BNE,2023-08-26,In Stock
SKU-501356,123456,electronics,Nova Wholesale,,118,N/A,unknown,09/03/2024,In Stock
N/A,Product 1358,Software,Nova Wholesale,887,N/A,"1,299.50",WH-MEL,2023/07/20,N/A
,Product 1359,Software,Global Parts,-1,131,1499.88,N/A,2025/11/05,In Stock
SKU-500998,Product 999,Software,PrimeSource,317,9999,363.63,WH-PER,31/02/2026,in stock
SKU-501360,,Software,Nova Wholesale,210,89,FREE,WH-BNE,16.03.2022,Not Available
,123456,Accessories,Global Parts,"1,200",45,2210.45,wh-per ,2023/06/23,In Stock
SKU-501362,Product 1363,Office,Prime Source,873,147,2474.4,WH-BNE,2026-03-27,In Stock
SKU-501363,Product 1364,Electronics,PrimeSource,51,17,"2 500,00",WH-PER,2022-02-26,In Stock
SKU-501364,Product 1365,Home,PrimeSource,479,146,567.24,wh-per ,31.01.2021,In Stock
,N/A,Electronics,unknown,-50,123,N/A,N/A,missing,In Stock
SKU-501366,product_name,accessory,Metro Goods,365,78,2447.04,WH-ADE,01.01.2022,In Stock
SKU-????,product_name,Accessories ,Metro Goods,785,34,"1,299.50",WH-SYD,08.10.2024,In Stock
SKU-501368,Product 1369,Accessories,Apex Supply,1O0,96,1926.82,WH-SYD,13.04.2024,In Stock
SKU-501369,???,Office,Apex Supply,611,39,1496.25,ADE,08.04.2025,1
SKU-501370,123456,Software,Nova Wholesale,,43,2151.38,WH-BNE,15.08.2022,In Stock
SKU-501371,Product,Accessories,Nova,636,,836.63,SYD,05-05-2024,Not Available
SKU-500862,product_name,Electronics,Global Parts,72,36,-250,WH-SYD,22/11/2025,In Stock
SKU-500637,Product 638,N/A,Nova Wholesale,NaN,-10,1513.05,SYD,32 Jan 2025,In Stock
N/A,Product 1375,Home,GlobalParts,483,34,,WH-ADE,none,In Stock
SKU-501375,Product 1376,Accessories,Global Parts,443,9999,FREE,WH-ADE,2023/09/18,In Stock
SKU 501376,Product 1377,Home,Global Parts,-1,95,N/A,Sydney Warehouse,00/00/0000,In Stock
SKU-501377,Product 1378,Home & Living,Vertex Trading,664,123,2114.18,WH-PER,03-08-2024,in stock
12345,Product 1379,Software,Nova Wholesale,2,102,"2 500,00",WH-BNE,2025/00/12,Low Stock
SKU-501379,N/A,Software,Apex Supply,-1,146,AUD 500,WH-PER,05 Jan 2023,outofstock
SKU-501380,Product 1381,Accessories,Apex Supply,326,,2091.07,WH-SYD,N/A,OOS
SKU-501381,Product 1382,accessory,Apex  Supply,0.5,38,10O.50,Warehouse 1,02.12.2025,Available
SKU-501382,Product 1383,Electronics,Metro Goods,"1,200",54,2046.12,Sydney Warehouse,missing,INSTOCK
SKU-501383,,office supplies,PrimeSource,253,N/A,-250,WH-MEL,2021-06-27,outofstock
SKU-501384,Product 1385,OFFICE,PrimeSource,189,34,69.95,WH-bne,unknown,In Stock
SKU-501385,Product 1386,Office,Global Parts,672,109,390.69,WH-BNE,07.10.2024,In Stock
12345,Product 1387,Unknown,Apex Supply,131,20,250.61,WH-BNE,25/05/2025,N/A
sku-500046,Product 1388,Home,Metro Goods,855,32,$99.99,wh-per ,25/04/2026,In Stock
SKU-501388,Product 1389,soft ware,PrimeSource,-50,9999,1748.02,WH-ADE,2025-01-19,outofstock
SKU-500055,Unknown Item,Accessories,123,394,NaN,AUD 500,WH-ADE,2022/03/23,outofstock
SKU-501390,Product 1391,Home,Apex Supply,625,0,1826.19,wh-per ,2024-09-25,In Stock
sku-501391,Product 1392,Home & Living,Metro Goods,875,148,1095.16,WH-MEL,13/13/26,In Stock
SKU-501392,Product,N/A,Global Parts,376,50 units,FREE,WH-BNE,12-30-2024,N/A
